2017-10-31,0.044112,0.047627,0.040259,0.040919,203432,14166100,0.04
2017-11-01,0.040865,0.043251,0.036253,0.038692,289363,13123300,0.04
2017-11-02,0.038762,0.039085,0.025020,0.032345,240389,12448000,0.03
2017-11-03,0.032425,0.035763,0.029934,0.034472,265287,10412800,0.03
2017-11-04,0.034570,0.034949,0.031914,0.032765,242671,11101700,0.03
2017-11-05,0.032632,0.033821,0.030711,0.031577,188850,10479200,0.03
2017-11-06,0.031628,0.032670,0.030444,0.030581,299098,10157000,0.03
2017-11-07,0.030581,0.032481,0.029653,0.030522,338374,9820820,0.03
2017-11-08,0.030435,0.031928,0.026972,0.030441,343560,9773890,0.03
2017-11-09,0.029678,0.032586,0.029281,0.030885,332586,9530580,0.03
2017-11-10,0.030956,0.049052,0.030956,0.038883,528880,9940990,0.04
2017-11-11,0.038936,0.042808,0.035429,0.036266,311035,12503800,0.04
2017-11-12,0.036900,0.037442,0.030999,0.032311,227436,11850100,0.03
2017-11-13,0.032391,0.038447,0.031111,0.033136,285125,10402100,0.03
2017-11-14,0.033405,0.035586,0.032621,0.034154,255268,10727700,0.03
2017-11-15,0.034251,0.035748,0.032092,0.033837,266319,10999400,0.03
2017-11-16,0.032648,0.035767,0.029770,0.032301,402073,10484700,0.03
2017-11-17,0.032468,0.034056,0.029744,0.030955,265287,10426700,0.03
2017-11-18,0.031260,0.031644,0.027971,0.031531,320495,10038900,0.03
2017-11-19,0.031380,0.033161,0.030699,0.032089,300334,10077200,0.03
2017-11-20,0.032032,0.032836,0.031195,0.032265,261324,10286800,0.03
2017-11-21,0.032166,0.032607,0.029789,0.030114,337191,10329900,0.03
2017-11-22,0.030170,0.032308,0.029606,0.031396,505707,9688640,0.03
2017-11-23,0.032214,0.032693,0.030423,0.030522,586854,10345100,0.03
2017-11-24,0.030451,0.032301,0.029822,0.030720,702269,9779110,0.03
2017-11-25,0.030614,0.033598,0.029739,0.031155,677719,9831200,0.03
2017-11-26,0.031024,0.033220,0.028983,0.030092,1030950,9962860,0.03
2017-11-27,0.030775,0.031657,0.023538,0.026511,938464,9883140,0.03
2017-11-28,0.026513,0.027634,0.022651,0.023543,870994,8514410,0.03
2017-11-29,0.023544,0.026430,0.020429,0.021510,601091,7560800,0.02
2017-11-30,0.021840,0.024419,0.017589,0.022004,606253,7013780,0.02
2017-12-01,0.022055,0.022694,0.018735,0.021730,632687,7082810,0.02
2017-12-02,0.021666,0.023516,0.021565,0.022732,582117,6957780,0.02
2017-12-03,0.022844,0.024298,0.021768,0.022988,690766,7336190,0.02
2017-12-04,0.022897,0.024297,0.022421,0.023614,542630,7353070,0.02
2017-12-05,0.023764,0.026417,0.023500,0.024802,657119,7631560,0.02
2017-12-06,0.024566,0.028986,0.024566,0.028986,954736,7888970,0.03
2017-12-07,0.028734,0.117826,0.028722,0.050924,2612180,9227640,0.07
2017-12-08,0.050574,0.070990,0.040988,0.049868,1094850,16241100,0.06
2017-12-09,0.049247,0.050150,0.038678,0.043600,475747,15814900,0.04
2017-12-10,0.042616,0.049302,0.038036,0.044039,430656,13685500,0.04
2017-12-11,0.043921,0.047721,0.043609,0.047721,835783,14104700,0.05
2017-12-12,0.047752,0.048939,0.043418,0.044384,856990,15334900,0.05
2017-12-13,0.043552,0.048633,0.040037,0.041610,622536,13986200,0.04
2017-12-14,0.041176,0.045198,0.040033,0.042043,561058,13223300,0.04
2017-12-15,0.042097,0.046793,0.041695,0.045536,599879,13518800,0.04
2017-12-16,0.045643,0.049573,0.044734,0.047594,625051,14657500,0.05
2017-12-17,0.047871,0.073269,0.047570,0.065661,2975080,15373100,0.06
2017-12-18,0.065771,0.065771,0.058035,0.065251,959036,21121600,0.06
2017-12-19,0.064990,0.071433,0.061447,0.064847,1180550,20870900,0.07
2017-12-20,0.065180,0.065180,0.051709,0.054330,682625,20931700,0.06
2017-12-21,0.056584,0.062512,0.053299,0.056338,805520,18171100,0.06
2017-12-22,0.056219,0.057144,0.040259,0.047342,603210,18054000,0.05
2017-12-23,0.047683,0.057280,0.046962,0.053302,502524,15313000,0.05
2017-12-24,0.053568,0.053568,0.045327,0.050350,418603,17202700,0.05
2017-12-25,0.051163,0.054072,0.049522,0.051351,427177,16430300,0.05
2017-12-26,0.051291,0.056547,0.051291,0.055063,515893,16471500,0.05
2017-12-27,0.055307,0.057355,0.049854,0.053766,382881,17761200,0.05
2017-12-28,0.053813,0.054732,0.046052,0.049912,434181,17281500,0.05
2017-12-29,0.049860,0.053111,0.049691,0.052132,465066,16011800,0.05
2017-12-30,0.051791,0.052173,0.043805,0.046921,409494,16632000,0.05
2017-12-31,0.046269,0.052093,0.045877,0.051030,423163,14858800,0.05
2018-01-01,0.050837,0.072349,0.048635,0.055797,1619880,16325600,0.06
2018-01-02,0.055936,0.074851,0.055167,0.065076,1652730,17963200,0.07
2018-01-03,0.066401,0.072318,0.063028,0.069762,1190080,21323800,0.07
2018-01-04,0.069204,0.144622,0.068603,0.131166,6649310,22224100,0.11
2018-01-05,0.133328,0.219866,0.131644,0.177423,14348800,42816600,0.18
2018-01-06,0.176695,0.183881,0.153501,0.168783,3525750,56743400,0.17
2018-01-07,0.168724,0.178478,0.158943,0.167573,2779660,54183800,0.17
2018-01-08,0.167746,0.167746,0.117345,0.144284,2315470,53869600,0.14
2018-01-09,0.143667,0.150049,0.128175,0.138942,1806630,46136800,0.14
2018-01-10,0.139035,0.139787,0.115822,0.126703,1516760,44649500,0.13
2018-01-11,0.126679,0.131694,0.109344,0.110929,1091830,40681400,0.12
2018-01-12,0.110986,0.118883,0.105081,0.114226,886485,35641900,0.11
2018-01-13,0.113920,0.119980,0.112111,0.114677,1044380,36583900,0.12
2018-01-14,0.114791,0.117057,0.102226,0.108944,739269,36863800,0.11
2018-01-15,0.108202,0.152928,0.102957,0.120755,3292190,34747600,0.13
2018-01-16,0.121359,0.121359,0.075808,0.087850,1572940,38972900,0.10
2018-01-17,0.086725,0.093134,0.054869,0.081861,1266190,27850600,0.07
2018-01-18,0.082027,0.101021,0.077075,0.087935,1169470,26342000,0.09
2018-01-19,0.087148,0.093402,0.082587,0.091113,1073310,27986600,0.09
2018-01-20,0.091489,0.099742,0.090969,0.094909,747426,29380400,0.10
